iteration,103,105,107,112,118,120,122,125,127,129,132,134,136,138,140,143,146,148,151,156,159,161,163,165,167,169,172,174,179,186,189,192,195,199,202,204,207,210,213,218,229,240,242,244,246,249,251,255,257,259,261,263,268,270,273,275,277,279,281,283,285,288,292,294,296,298,300,302,304,306,308,310,313,315,317,321,327,329,340,342,344,347,360,362,366,369,372,376,380,382,384,386,388,390,392,394,396,398,400,402,408,411,413,415,419,425,427,430,432,434,436,440,442,444,446,448,450,456,458,460,462,464,466,468,470,472,474,476,478,481,484,486,488,490,493,495,499,501,510,515,517,519,522,528,530,533,535,537,539,541,543,546,550,552,554,560,562,565,567,569,572,574,578,587,590,596,599,601,609,611,624,627,634,636,640,642,644,648,650,654,657,660,662,670,674,676,679,681,689,692,694,697,699,702,705,714,716,718,720,722,724,726,729,736,739,743,745,749,753,755,757,763,765,768,771,773,775,777,779,781,783,786,790,792,797,799,802,804,806,808,810,812,814,816,818,820,822,824,826,828,834,836,838,840,842,844,846,848,851,854,856,858,861,868,878,880,882,885,888,890,892,894,896,901,908,910,912,914,917,928,930,932,934,936,939,941,944,946,948,957,967,969,971,974,976,978,980,982,986,988,990,993,995,997,999,1001
real.SBX,0.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,2.0
iteration,101,108,109,110,113,114,115,116,123,130,141,144,149,152,153,154,157,170,175,176,177,180,181,182,183,184,187,190,193,196,197,200,205,208,211,214,215,216,219,220,221,222,223,224,225,226,227,230,231,232,233,234,235,236,237,238,247,252,253,264,265,266,271,286,289,290,311,318,319,322,323,324,325,330,331,332,333,334,335,336,337,338,345,348,349,350,351,352,353,354,355,356,357,358,363,364,367,370,373,374,377,378,403,404,405,406,409,416,417,420,421,422,423,428,437,438,451,452,453,454,479,482,491,496,497,502,503,504,505,506,507,508,511,512,513,520,523,524,525,526,531,544,547,548,555,556,557,558,563,570,575,576,579,580,581,582,583,584,585,588,591,592,593,594,597,602,603,604,605,606,607,612,613,614,615,616,617,618,619,620,621,622,625,628,629,630,631,632,637,638,645,646,651,652,655,658,663,664,665,666,667,668,671,672,677,682,683,684,685,686,687,690,695,700,703,706,707,708,709,710,711,712,727,730,731,732,733,734,737,740,741,746,747,750,751,758,759,760,761,766,769,784,787,788,793,794,795,800,829,830,831,832,849,852,859,862,863,864,865,866,869,870,871,872,873,874,875,876,883,886,897,898,899,902,903,904,905,906,915,918,919,920,921,922,923,924,925,926,937,942,949,950,951,952,953,954,955,958,959,960,961,962,963,964,965,972,983,984,991
real.PM,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0
